GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus
6037199001,2552,252,46,22,730,0,914,588
6037199002,2913,540,116,82,697,5,957,516
6037199110,2377,484,39,77,184,0,1131,462
6037199120,3777,630,120,113,669,8,1684,553
6037199201,3584,436,86,97,927,1,1486,551
6037199202,2785,581,57,59,264,3,1154,667
6037199300,3545,1184,88,78,389,1,979,826
6037199400,4470,756,57,84,699,11,2160,703
6037199700,3393,902,109,104,490,4,1256,528
6037199801,3036,369,43,59,936,2,1177,450
6037199802,2144,216,12,47,865,2,752,250
6037199900,2641,331,69,59,450,5,1306,421
6037201110,2332,537,61,58,267,1,952,456
6037201120,4395,890,180,110,406,7,1864,938
6037201200,2362,452,25,66,186,1,1118,514
6037201301,3409,704,94,71,514,0,1439,587
6037201302,3882,1126,228,35,1457,7,438,591
6037201401,4701,785,161,142,461,2,2245,905
6037201402,4046,702,43,99,754,10,1462,976
6037201501,4974,853,69,184,479,2,2224,1163
6037201503,3059,534,62,98,190,8,1654,513
6037201504,2254,410,30,64,241,9,1015,485
6037201601,2183,384,33,78,301,1,1041,345
6037201602,2686,572,30,73,274,1,1195,541
6037201700,5055,1049,391,75,729,9,1830,972
6037203100,4688,723,95,135,126,0,2625,984
6037203200,4264,684,43,120,80,3,2588,746
6037203300,2280,412,291,44,258,2,940,333
6037203500,2751,388,57,82,284,1,1354,585
6037203601,2662,285,22,91,31,8,1740,485
6037203602,2124,314,35,79,56,4,1264,372
6037203710,3087,402,21,86,52,3,1970,553
6037203720,3580,482,63,118,66,8,2278,565
6037203800,4502,646,49,184,80,6,2682,855
6037203900,2611,408,19,86,28,6,1517,547
6037204110,2811,398,14,139,30,4,1584,642
6037204120,2368,382,22,76,30,2,1365,491
6037204200,3393,481,68,94,95,5,2114,536
6037204300,4433,638,40,96,93,3,2660,903
6037204410,2174,280,37,35,82,1,1350,389
6037204420,2870,503,90,60,35,4,1724,454
6037204600,3740,642,77,124,93,9,2114,681
6037204700,4632,772,22,134,69,6,2777,852
6037204810,5166,770,66,225,72,6,3195,832
6037204820,2055,337,9,93,30,0,1179,407
